,Text,Type,Category,Description,referencedComponentId,mapTarget
0,labs,TEST_NAME,TEST_TREATMENT_PROCEDURE,"Result, lab.- general (observable entity)",275924004,
1,labs,TEST_NAME,TEST_TREATMENT_PROCEDURE,Laboratory test (procedure),15220000,
2,labs,TEST_NAME,TEST_TREATMENT_PROCEDURE,Laboratory test observable (observable entity),364712009,
3,labs,TEST_NAME,TEST_TREATMENT_PROCEDURE,Laboratory report (record artifact),4241000179101,
4,labs,TEST_NAME,TEST_TREATMENT_PROCEDURE,Laboratory data interpretation (procedure),386344002,
5,Weight,TEST_NAME,TEST_TREATMENT_PROCEDURE,Body weight (observable entity),27113001,
6,Weight,TEST_NAME,TEST_TREATMENT_PROCEDURE,Weight (property) (qualifier value),726527001,
7,Weight,TEST_NAME,TEST_TREATMENT_PROCEDURE,Measured body weight (observable entity),363808001,
8,Weight,TEST_NAME,TEST_TREATMENT_PROCEDURE,Weight finding (finding),107647005,
9,Weight,TEST_NAME,TEST_TREATMENT_PROCEDURE,Weights (qualifier value),272102008,
10,Weight,TEST_NAME,TEST_TREATMENT_PROCEDURE,Body weight (observable entity),27113001,
11,Weight,TEST_NAME,TEST_TREATMENT_PROCEDURE,Weight (property) (qualifier value),726527001,
12,Weight,TEST_NAME,TEST_TREATMENT_PROCEDURE,Weight finding (finding),107647005,
13,Weight,TEST_NAME,TEST_TREATMENT_PROCEDURE,Measured body weight (observable entity),363808001,
14,Weight,TEST_NAME,TEST_TREATMENT_PROCEDURE,Neoplasm weight (observable entity),371503009,
15,height,TEST_NAME,TEST_TREATMENT_PROCEDURE,Body height measure (observable entity),50373000,
16,height,TEST_NAME,TEST_TREATMENT_PROCEDURE,Body height (observable entity),1153637007,
17,height,TEST_NAME,TEST_TREATMENT_PROCEDURE,Height and weight (observable entity),162879003,
18,height,TEST_NAME,TEST_TREATMENT_PROCEDURE,Step height (observable entity),250001007,
19,height,TEST_NAME,TEST_TREATMENT_PROCEDURE,Estimated body height (observable entity),1162418000,
20,provided,TEST_NAME,TEST_TREATMENT_PROCEDURE,Providing material (procedure),223457009,
21,provided,TEST_NAME,TEST_TREATMENT_PROCEDURE,Device applied to patient (finding),373061006,
22,provided,TEST_NAME,TEST_TREATMENT_PROCEDURE,Mount used (attribute),246143003,
23,provided,TEST_NAME,TEST_TREATMENT_PROCEDURE,Traction weight applied (qualifier value),260901008,
24,provided,TEST_NAME,TEST_TREATMENT_PROCEDURE,Offered (qualifier value),410527000,
25,low white blood cell count,DX_NAME,MEDICAL_CONDITION,White blood cell count (procedure),767002,
26,low white blood cell count,DX_NAME,MEDICAL_CONDITION,White blood cell count abnormal (finding),165509000,
27,low white blood cell count,DX_NAME,MEDICAL_CONDITION,White blood cell count normal (finding),165507003,
28,low white blood cell count,DX_NAME,MEDICAL_CONDITION,Red blood cell count low (finding),165423001,10038156.0
29,low white blood cell count,DX_NAME,MEDICAL_CONDITION,Total white blood cell count (procedure),391558003,
30,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Low (qualifier value),62482003,
31,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Red blood cell count low (finding),165423001,10038156.0
32,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Decreased blood leukocyte number (finding),419188005,10024384.0
33,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Decreased blood leukocyte number (finding),419188005,10048552.0
34,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Measurement finding below reference range (finding),442686002,
35,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Hemoglobin low (finding),165397008,10055600.0
36,white blood cell count,TEST_NAME,TEST_TREATMENT_PROCEDURE,White blood cell count (procedure),767002,
37,white blood cell count,TEST_NAME,TEST_TREATMENT_PROCEDURE,Total white blood cell count (procedure),391558003,
38,white blood cell count,TEST_NAME,TEST_TREATMENT_PROCEDURE,White blood cell count normal (finding),165507003,
39,white blood cell count,TEST_NAME,TEST_TREATMENT_PROCEDURE,White blood cell count abnormal (finding),165509000,
40,white blood cell count,TEST_NAME,TEST_TREATMENT_PROCEDURE,Blood cell count (procedure),88308000,
41,low white blood cell count,DX_NAME,MEDICAL_CONDITION,White blood cell count (procedure),767002,
42,low white blood cell count,DX_NAME,MEDICAL_CONDITION,White blood cell count abnormal (finding),165509000,
43,low white blood cell count,DX_NAME,MEDICAL_CONDITION,White blood cell count normal (finding),165507003,
44,low white blood cell count,DX_NAME,MEDICAL_CONDITION,Red blood cell count low (finding),165423001,10038156.0
45,low white blood cell count,DX_NAME,MEDICAL_CONDITION,White blood cell finding (finding),250271003,
46,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Low (qualifier value),62482003,
47,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Red blood cell count low (finding),165423001,10038156.0
48,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Decreased blood leukocyte number (finding),419188005,10024384.0
49,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Decreased blood leukocyte number (finding),419188005,10048552.0
50,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Very low (qualifier value),260362008,
51,low,TEST_VALUE,TEST_TREATMENT_PROCEDURE,Measurement finding below reference range (finding),442686002,
52,white blood cell count,TEST_NAME,TEST_TREATMENT_PROCEDURE,White blood cell count (procedure),767002,
53,white blood cell count,TEST_NAME,TEST_TREATMENT_PROCEDURE,White blood cell count normal (finding),165507003,
54,white blood cell count,TEST_NAME,TEST_TREATMENT_PROCEDURE,Total white blood cell count (procedure),391558003,
55,white blood cell count,TEST_NAME,TEST_TREATMENT_PROCEDURE,White blood cell count abnormal (finding),165509000,
56,white blood cell count,TEST_NAME,TEST_TREATMENT_PROCEDURE,White blood cell test (procedure),252305002,
57,test,TEST_NAME,TEST_TREATMENT_PROCEDURE,Test request (procedure),394838008,
58,test,TEST_NAME,TEST_TREATMENT_PROCEDURE,Genetic test (procedure),405824009,
59,test,TEST_NAME,TEST_TREATMENT_PROCEDURE,Thomas test (procedure),18922003,
60,test,TEST_NAME,TEST_TREATMENT_PROCEDURE,Rinne test (procedure),84636009,
