,Text,Type,Category,Description,Snomed_code,Meddra_code,pt_name,hlt_name,hlgt_name,soc_name,soc_abbrev
0,cardiac,SYSTEM_ORGAN_SITE,ANATOMY,Heart structure (body structure),80891009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
1,cardiac,SYSTEM_ORGAN_SITE,ANATOMY,History of cardiac catheterization (situation),59261000119100,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
2,cardiac,SYSTEM_ORGAN_SITE,ANATOMY,Cardiac catheterization (procedure),41976001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
3,cardiac,SYSTEM_ORGAN_SITE,ANATOMY,Computed tomography of heart (procedure),241547009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
4,cardiac,SYSTEM_ORGAN_SITE,ANATOMY,Cardiac tomography (procedure),46377000,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
5,cardiac catheterization,PROCEDURE_NAME,TEST_TREATMENT_PROCEDURE,Cardiac catheterization (procedure),41976001,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
6,cardiac catheterization,PROCEDURE_NAME,TEST_TREATMENT_PROCEDURE,History of cardiac catheterization (situation),59261000119100,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
7,cardiac catheterization,PROCEDURE_NAME,TEST_TREATMENT_PROCEDURE,Catheterization (procedure),45211000,10052915.0,Catheter placement,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures,Surg
8,cardiac catheterization,PROCEDURE_NAME,TEST_TREATMENT_PROCEDURE,Cardiac catheter (physical object),705923009,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
9,cardiac catheterization,PROCEDURE_NAME,TEST_TREATMENT_PROCEDURE,Cardiac catheterization post-intervention phase (qualifier value),128960007,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found,No Meddra Mapping Found/desc Found
